location,city,bedrooms,bathrooms,price_pkr,size_sqft,price_per_sqft,log_price,days_since_listed,society_type,dha_phase,isb_sector_tier,is_premium_area,phase_number
"Bahria Town - Ghaznavi Block, Bahria Town - Sector F",Lahore,4.0,5.0,32500000.0,2250.0,14444.444444444445,17.296750678069195,0.08333333333333333,Bahria,0,0,0,0
"Dha Phase 3 - Block Z, Dha Phase 3",Lahore,3.0,4.0,28000000.0,1125.0,24888.88888888889,17.147715103853763,0.08333333333333333,DHA,3,0,0,3
"Park View City, Lahore",Lahore,5.0,7.0,30000000.0,2250.0,13333.333333333334,17.216707972959764,0.03680555555555556,Private,0,0,0,0
"Park View City, Lahore",Lahore,4.0,5.0,15500000.0,1125.0,13777.777777777777,16.5563506464056,0.0375,Private,0,0,0,0
"Park View City, Lahore",Lahore,4.0,5.0,16500000.0,1125.0,14666.666666666666,16.61887099947687,0.0375,Private,0,0,0,0
"Askari 11 - Sector B Apartments, Askari 11",Lahore,3.0,3.0,28500000.0,2250.0,12666.666666666666,17.1654146803266,0.04027777777777778,Askari,0,0,0,11
"Bahria Town - Sector E, Bahria Town",Lahore,1.0,1.0,13500000.0,742.5,18181.81818181818,16.41820031748273,0.04027777777777778,Bahria,0,0,0,0
"Dha 9 Town, Dha Defence",Lahore,4.0,4.0,31000000.0,1125.0,27555.555555555555,17.249497794707484,2.0,DHA,9,0,0,0
"Lake City, Raiwind Road",Lahore,4.0,5.0,25500000.0,1575.0,16190.47619047619,17.05418904934434,2.0,Private,0,0,0,0
"Lake City, Raiwind Road",Lahore,6.0,7.0,36000000.0,1575.0,22857.14285714286,17.399029524198163,2.0,Private,0,0,0,0
"Dha Phase 7, Dha Defence",Lahore,5.0,6.0,73500000.0,4500.0,16333.333333333334,18.112795977788508,2.0,DHA,7,0,0,7
"Dha 9 Town, Dha Defence",Lahore,3.0,4.0,24500000.0,1125.0,21777.777777777777,17.01418371633128,2.0,DHA,9,0,0,0
"Aitchison Society - Block B, Aitchison Society",Lahore,5.0,5.0,13500000.0,675.0,20000.0,16.41820031748273,1.0,Other,0,0,0,0
"Judicial Colony Phase 1, Judicial Colony",Lahore,3.0,4.0,19500000.0,1125.0,17333.333333333332,16.785925074816024,1.0,Other,0,0,0,1
"Lda Avenue, Lahore",Lahore,7.0,6.0,55000000.0,4500.0,12222.222222222223,17.822843761378564,1.0,Other,0,0,0,0
"Lda Avenue, Lahore",Lahore,6.0,6.0,39500000.0,2250.0,17555.555555555555,17.491811255187805,1.0,Other,0,0,0,0
"Dha Phase 6 - Block K, Dha Phase 6",Lahore,6.0,7.0,129000000.0,4500.0,28666.666666666668,18.675322970077882,0.041666666666666664,DHA,6,0,1,6
"Al Rehman Garden Phase 1 - Block A, Al Rehman Garden Phase 1",Lahore,4.0,5.0,16500000.0,1125.0,14666.666666666666,16.61887099947687,0.08333333333333333,Other,0,0,0,1
